QUADRO DE CONTROLE DE OBRA;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
;;;;;;;;;
;;;Obra: ;Complexo Alto Tietê - OAE Marginal - fase 02;;;P3931;;
;;;Estrada: ;SP-021 - Rodoanel Mário Covas - Leste;;;;;
;;;km / estaca: ;km 114+600 ao  km 117+000;;;;;
N;FOL / CÓD.;REV.;ASSUNTO;;R0;R1;R2;R3;R4
;;;;;;;;;
70;AB-SPM00021D-114.117-825-C01-070;0;Formas - Seções e detalhes do apoio 112 a 118;;2026-02-18 00:00:00;;;;
71;AB-SPM00021D-114.117-825-C01-071;0;Formas - Seções e detalhes do apoio 119 a 125;;2026-02-19 00:00:00;;;;
72;AB-SPM00021D-114.117-825-C01-072;0;Formas - Seções e detalhes do apoio 126 a 132;;2026-02-20 00:00:00;;;;
73;AB-SPM00021D-114.117-825-C01-073;0;Formas - Seções e detalhes do apoio 133 e 135 a 140;;2026-02-20 00:00:00;;;;
74;AB-SPM00021D-114.117-825-C01-074;0;Formas - Seções e detalhes do apoio 141 a 148;;2026-02-24 00:00:00;;;;
75;AB-SPM00021D-114.117-825-C01-075;0;Formas - Seções e detalhes do apoio 149;;2026-02-24 00:00:00;;;;
76;AB-SPM00021D-114.117-825-C01-076;0;Formas - Seções e detalhes do apoio 150;;2026-02-26 00:00:00;;;;
77;AB-SPM00021D-114.117-825-C01-077;0;Formas - Seções e detalhes do apoio 151;;2026-02-26 00:00:00;;;;
78;AB-SPM00021D-114.117-825-C01-078;;Formas - Seções e detalhes do apoio 152;;;;;;
79;AB-SPM00021D-114.117-825-C01-079;;Formas - Seções e detalhes do apoio 153;;;;;;
80;AB-SPM00021D-114.117-825-C01-080;;Formas - Seções e detalhes do apoio 154;;;;;;
81;AB-SPM00021D-114.117-825-C01-081;;Formas - Seções e detalhes do apoio 155 a 161;;;;;;
82;AB-SPM00021D-114.117-825-C01-082;;Formas - Seções e detalhes do apoio 162;;;;;;
83;AB-SPM00021D-114.117-825-C01-083;;Formas - Seções e detalhes do apoio 163;;;;;;
84;AB-SPM00021D-114.117-825-C01-084;;Formas - Seções e detalhes do apoio 164;;;;;;
85;AB-SPM00021D-114.117-825-C01-085;;Formas - Seções e detalhes do apoio 165;;;;;;
86;AB-SPM00021D-114.117-825-C01-086;;Formas - Seções e detalhes do apoio 166;;;;;;
87;AB-SPM00021D-114.117-825-C01-087;;Formas - Seções e detalhes do apoio 167;;;;;;
88;AB-SPM00021D-114.117-825-C01-088;;Formas - Seções e detalhes do apoio 168;;;;;;
89;AB-SPM00021D-114.117-825-C01-089;;Formas - Seções e detalhes do apoio 169;;;;;;
90;AB-SPM00021D-114.117-825-C01-090;;Formas - Seções e detalhes do apoio 170;;;;;;
91;AB-SPM00021D-114.117-825-C01-091;;Formas - Seções e detalhes do apoio 171;;;;;;
