assunto;nome;fase;projetista;path;tipo_doc;obra;trecho;codigo;materia;materia_num;pagina;revisao;rev_num;rev_suf;revisao_status;tipo_arquivo
;DE-SPM00021D-115.117-925-G08/317;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_317.R0a.pdf;DE;SPM00021D;115.117;925;G;08;317;R0a;0;a;NOVO;pdf
Projeto de geotecnica - Planta e seção típica;DE-SPM00021D-115.117-925-G08/411;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_411.R1b.dwg;DE;SPM00021D;115.117;925;G;08;411;R1b;1;b;NOVO;dwg
Projeto de geotecnica - Planta e seção típica;DE-SPM00021D-115.117-925-G08/411;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_411.R1b.pdf;DE;SPM00021D;115.117;925;G;08;411;R1b;1;b;NOVO;pdf
;DE-SPM00021D-115.117-925-G08/414;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_414.R0a.dwg;DE;SPM00021D;115.117;925;G;08;414;R0a;0;a;NOVO;dwg
;DE-SPM00021D-115.117-925-G08/414;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_414.R0a.pdf;DE;SPM00021D;115.117;925;G;08;414;R0a;0;a;NOVO;pdf
;DE-SPM00021D-115.117-925-G08/415;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_415.R0a.dwg;DE;SPM00021D;115.117;925;G;08;415;R0a;0;a;NOVO;dwg
;DE-SPM00021D-115.117-925-G08/415;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_415.R0a.pdf;DE;SPM00021D;115.117;925;G;08;415;R0a;0;a;NOVO;pdf
Projeto de geotecnica - Planta e seção típica;DE-SPM00021D-115.117-925-G08/511;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_511.R1a.dwg;DE;SPM00021D;115.117;925;G;08;511;R1a;1;a;NOVO;dwg
Projeto de geotecnica - Planta e seção típica;DE-SPM00021D-115.117-925-G08/511;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_511.R1a.pdf;DE;SPM00021D;115.117;925;G;08;511;R1a;1;a;NOVO;pdf
;DE-SPM00021D-115.117-925-G08/611;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_611.R1a.dwg;DE;SPM00021D;115.117;925;G;08;611;R1a;1;a;NOVO;dwg
;DE-SPM00021D-115.117-925-G08/611;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G08_611.R1a.pdf;DE;SPM00021D;115.117;925;G;08;611;R1a;1;a;NOVO;pdf
Estudos geológicos - Planta;DE-SPM00021D-115.117-925-G12/001;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G12_001.R1a.dwg;DE;SPM00021D;115.117;925;G;12;001;R1a;1;a;NOVO;dwg
Estudos geológicos - Planta;DE-SPM00021D-115.117-925-G12/001;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G12_001.R1a.pdf;DE;SPM00021D;115.117;925;G;12;001;R1a;1;a;NOVO;pdf
Estudos geológicos - Planta;DE-SPM00021D-115.117-925-G12/002;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G12_002.R1a.dwg;DE;SPM00021D;115.117;925;G;12;002;R1a;1;a;NOVO;dwg
Estudos geológicos - Planta;DE-SPM00021D-115.117-925-G12/002;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G12_002.R1a.pdf;DE;SPM00021D;115.117;925;G;12;002;R1a;1;a;NOVO;pdf
Estudos geológicos - Planta;DE-SPM00021D-115.117-925-G12/003;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G12_003.R1a.dwg;DE;SPM00021D;115.117;925;G;12;003;R1a;1;a;NOVO;dwg
Estudos geológicos - Planta;DE-SPM00021D-115.117-925-G12/003;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G12_003.R1a.pdf;DE;SPM00021D;115.117;925;G;12;003;R1a;1;a;NOVO;pdf
;DE-SPM00021D-115.117-925-G12/004;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G12_004.R0a.dwg;DE;SPM00021D;115.117;925;G;12;004;R0a;0;a;NOVO;dwg
;DE-SPM00021D-115.117-925-G12/004;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/DE-SPM00021D-115.117-925-G12_004.R0a.pdf;DE;SPM00021D;115.117;925;G;12;004;R0a;0;a;NOVO;pdf
;RT-SPM00021D-115.117-925-G15/001;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/RT-SPM00021D-115.117-925-G15_001.R0a.docx;RT;SPM00021D;115.117;925;G;15;001;R0a;0;a;NOVO;docx
;RT-SPM00021D-115.117-925-G15/001;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/REVISÃO - ESTUDO DE TRÁFEGO/RT-SPM00021D-115.117-925-G15_001.R0a.pdf;RT;SPM00021D;115.117;925;G;15;001;R0a;0;a;NOVO;pdf
;DE-SPM00021D-115.117-925-G08/611;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/TRATAMENTO - PADRE EUSTÁQUIO/DE-SPM00021D-115.117-925-G08_611.R0a.dwg;DE;SPM00021D;115.117;925;G;08;611;R0a;0;a;DESATUALIZADO;dwg
;DE-SPM00021D-115.117-925-G08/611;Fase 3;CANHEDO;CANHEDO/FASE 03/09-Projeto de Geotecnia/TRATAMENTO - PADRE EUSTÁQUIO/DE-SPM00021D-115.117-925-G08_611.R0a.pdf;DE;SPM00021D;115.117;925;G;08;611;R0a;0;a;DESATUALIZADO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/001;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_001.R1a.dwg;DE;SPM00021D;115.117;925;I;01;001;R1a;1;a;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/001;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_001.R1a.pdf;DE;SPM00021D;115.117;925;I;01;001;R1a;1;a;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/002;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_002.R1a.dwg;DE;SPM00021D;115.117;925;I;01;002;R1a;1;a;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/002;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_002.R1a.pdf;DE;SPM00021D;115.117;925;I;01;002;R1a;1;a;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/003;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_003.R1a.dwg;DE;SPM00021D;115.117;925;I;01;003;R1a;1;a;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/003;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_003.R1a.pdf;DE;SPM00021D;115.117;925;I;01;003;R1a;1;a;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/004;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_004.R1a.dwg;DE;SPM00021D;115.117;925;I;01;004;R1a;1;a;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/004;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_004.R1a.pdf;DE;SPM00021D;115.117;925;I;01;004;R1a;1;a;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/004;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_004.R1b.dwg;DE;SPM00021D;115.117;925;I;01;004;R1b;1;b;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/004;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_004.R1b.pdf;DE;SPM00021D;115.117;925;I;01;004;R1b;1;b;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/005;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_005.R1a.dwg;DE;SPM00021D;115.117;925;I;01;005;R1a;1;a;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/005;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_005.R1a.pdf;DE;SPM00021D;115.117;925;I;01;005;R1a;1;a;NOVO;pdf
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/005;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_005.R1b.dwg;DE;SPM00021D;115.117;925;I;01;005;R1b;1;b;NOVO;dwg
Cadastro de Interferências - Planta;DE-SPM00021D-115.117-925-I01/005;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/DE-SPM00021D-115.117-925-I01_005.R1b.pdf;DE;SPM00021D;115.117;925;I;01;005;R1b;1;b;NOVO;pdf
Memorial descritivo - Cadastro de Interferências;MD-SPM00021D-115.117-925-I01/001;Fase 3;CANHEDO;CANHEDO/FASE 03/10-Interferências/PROJETOS/MD-SPM00021D-115.117-925-I01_001.R1a.docx;MD;SPM00021D;115.117;925;I;01;001;R1a;1;a;NOVO;docx
